"date","native_tweets","native_retweets","retweet_ratio","Nday_authors","Nday_hash","Nday_mention","Nday_links","Nmean_hashtag","Nmean_mentions","Nmean_words","Nmean_links","Nunique_authors","Nuniq_hash","Nuniq_mention","Nuniq_links","retweetCount","repliesCount","N_favor"
2015-05-01,3,1,0.33,4,3,4,0,0.75,0.75,16.5,0,4,2,3,0,12,1,252
2015-05-02,3,1,0.33,4,3,1,3,0.75,0.25,16.75,0.75,4,3,1,3,348,0,374
2015-05-03,6,4,0.67,10,3,19,3,0.3,0.5,17.2,0.3,9,3,5,3,36,1,235
2015-05-04,15,2,0.13,17,29,11,15,1.71,0.47,16.65,0.88,15,13,9,12,20,1,188
2015-05-05,23,13,0.57,36,49,38,21,1.36,0.53,14.78,0.58,33,27,16,14,200,2,1372
2015-05-06,14,7,0.5,21,38,11,12,1.81,0.48,16.76,0.57,20,18,6,12,70,1,1121
2015-05-07,24,9,0.38,33,48,15,33,1.45,0.36,14.76,1,33,27,8,21,284,1,949
2015-05-08,13,8,0.62,21,24,21,25,1.14,0.67,16.14,1.19,20,13,7,16,65,0,1361
2015-05-09,25,17,0.68,42,39,28,37,0.93,0.48,14.86,0.88,41,15,8,24,86,1,1622
2015-05-10,56,19,0.34,75,96,41,50,1.28,0.39,14.88,0.67,67,47,27,36,139,3,2511
2015-05-11,655,312,0.48,967,516,618,392,0.53,0.5,14.36,0.41,884,158,353,224,1709,142,20235
2015-05-12,1136,531,0.47,1667,630,1124,563,0.38,0.48,14.13,0.34,1530,318,622,399,3918,239,30448
2015-05-13,1033,500,0.48,1533,678,1025,531,0.44,0.48,14.68,0.35,1429,285,531,338,2122,202,27525
2015-05-14,1310,645,0.49,1955,689,1252,546,0.35,0.48,13.97,0.28,1834,329,609,366,2559,271,34203
2015-05-15,982,532,0.54,1514,596,1086,409,0.39,0.52,14.36,0.27,1381,235,494,304,3734,230,17560
2015-05-16,640,573,0.9,1213,474,943,360,0.39,0.62,13.26,0.3,1162,208,343,249,1445,133,16571
2015-05-17,901,617,0.68,1518,406,1023,323,0.27,0.56,13.68,0.21,1409,243,441,243,1511,220,21937
2015-05-18,1175,566,0.48,1741,641,1043,451,0.37,0.47,13.02,0.26,1633,339,524,354,1366,216,28602
2015-05-19,1001,469,0.47,1470,626,931,373,0.43,0.49,14.42,0.25,1365,257,509,281,1025,241,18134
2015-05-20,674,291,0.43,965,424,699,353,0.44,0.52,14.83,0.37,919,220,405,239,649,173,15559
2015-05-21,491,321,0.65,812,208,591,215,0.26,0.57,14.92,0.26,784,133,289,174,1328,123,13478
2015-05-22,449,233,0.52,682,222,458,230,0.33,0.51,15,0.34,665,146,267,172,319,102,9608
2015-05-23,374,151,0.4,525,191,330,189,0.36,0.51,14.92,0.36,504,114,231,134,284,98,8165
2015-05-24,423,336,0.79,759,448,674,407,0.59,0.6,15.47,0.54,700,131,296,176,741,117,9956
2015-05-25,559,209,0.37,768,327,422,475,0.43,0.43,14.9,0.62,712,171,258,323,862,101,10602
2015-05-26,592,262,0.44,854,430,476,517,0.5,0.46,15.13,0.61,762,192,269,335,499,120,12257
2015-05-27,757,433,0.57,1190,629,798,928,0.53,0.51,14.88,0.78,1064,207,374,467,939,137,14030
2015-05-28,650,394,0.61,1044,715,758,804,0.68,0.54,15.4,0.77,903,183,319,437,1504,131,11597
2015-05-29,684,276,0.4,960,410,603,722,0.43,0.47,15.22,0.75,864,192,310,447,624,138,9708
2015-05-30,658,386,0.59,1044,524,639,713,0.5,0.5,15.27,0.68,931,182,291,425,1147,110,12030
2015-05-31,625,274,0.44,899,441,537,434,0.49,0.47,14.79,0.48,823,213,296,314,647,123,12467
2015-06-01,1018,414,0.41,1432,650,823,655,0.45,0.45,14.09,0.46,1305,291,434,484,1114,191,21072
2015-06-02,1213,687,0.57,1900,1030,1200,711,0.54,0.52,14.15,0.37,1739,324,529,437,3737,242,26362
2015-06-03,2709,1211,0.45,3920,1317,2181,997,0.34,0.43,13.16,0.25,3488,520,1079,692,5448,448,74816
2015-06-04,4210,2274,0.54,6484,2047,4015,1390,0.32,0.48,13.2,0.21,5587,804,1636,958,7024,783,106265
2015-06-05,5098,3808,0.75,8906,2684,5972,1867,0.3,0.55,13.22,0.21,7633,987,2110,1303,11920,959,137606
2015-06-06,4663,2910,0.62,7573,2779,4913,2098,0.37,0.52,13.31,0.28,6442,1064,1923,1386,7134,890,115971
2015-06-07,4082,2388,0.59,6470,1978,4109,1821,0.31,0.51,13.9,0.28,5565,785,1763,1217,5167,844,97014
2015-06-08,3384,1799,0.53,5183,1818,3369,1592,0.35,0.51,14.26,0.31,4504,748,1570,1143,3027,735,75841
