"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",11.4,15,16,11.8,16.5,17.3,9.4,13.9,14.7,3.6,9,10,7.2,11.9,12.9
"2",11.4,15,16,11.8,16.5,17.285,9.4,13.9,14.7,3,9,10,7.2,11.86,12.9
"3",11.2,15,16,11.8,16.5,17.1,9.3,13.85,14.7,3,9,10,7.1,11.75,12.8
"4",11,15,16,11.7,16.4,17.1,9.2,13.8,14.7,3,9,10,7.05,11.7,12.775
"5",11,15,15.94,11.7,16.4,17.1,9.2,13.7,14.7,3,8,10,7,11.65,12.7
"6",11,15,15.94,11.7,16.37,17.1,9.2,13.7,14.7,3,8,10,7,11.55,12.675
"7",11,15,15.57,11.6,16.3,17,9.2,13.7,14.7,3,8,10,6.9,11.45,12.6
"8",11,15,15.2,11.6,16.3,16.9,9.2,13.6,14.63,3,8,9,6.9,11.4,12.4
"9",11,15,15.2,11.6,16.2,16.885,9.2,13.56,14.53,3,8,9,6.9,11.4,12.3
"10",11,15,15.2,11.65,16.2,16.8,9.2,13.4,14.5,3,8,9,6.9,11.4,12.275
"11",11,15,15.2,11.6,16.2,16.785,9.2,13.4,14.5,3,8,9,6.85,11.4,12.2
"12",11,15,15.2,11.6,16.2,16.785,9.3,13.4,14.5,3,8,9,6.8,11.4,12.2
"13",11,15,15.2,11.65,16.2,16.7,9.4,13.4,14.5,3,8,9,6.85,11.4,12.2
"14",11,15,15.2,11.65,16.2,16.7,9.4,13.4,14.53,3,8,9,6.9,11.4,12.2
"15",11.2,15,15.4,11.7,16.2,16.83,9.4,13.45,14.5,3,8,9,6.9,11.34,12.2
"16",11.4,15,15.4,11.7,16.2,16.8,9.4,13.5,14.5,3,8,9,6.9,11.3,12.2
"17",11.4,15,15.45,11.7,16.2,16.825,9.4,13.4,14.5,3,8,9,6.9,11.3,12.115
"18",11.6,15,16,11.8,16.2,16.925,9.4,13.44,14.6,3,8,9,6.9,11.23,12.1
"19",12,15,15.7,11.8,16.15,16.725,9.4,13.5,14.7,3,8,9,6.9,11.2,12.1
"20",12,15,16,11.9,16.15,16.825,9.5,13.5,14.7,3,8,9,6.95,11.2,12.015
"21",12,15,16,12.1,16.15,16.925,9.5,13.6,14.77,3,8,9,7,11.2,12
"22",12,15,16,12.2,16.1,16.75,9.6,13.6,14.77,3,8,9,7.1,11.2,12
"23",12,15,15.85,12.2,16.05,16.625,9.7,13.6,14.7,3,8,9,7.1,11.1,11.915
"24",12,15,16,12.2,16.1,16.625,9.7,13.6,14.7,3,8,9,7.1,11.1,11.915
"25",12,15,16,12.2,16.1,16.725,9.8,13.62,14.76,3,8,9,7.1,11.1,12
"26",12,15,16,12.3,16.1,16.82,9.8,13.7,14.8,3,8,9,7.2,11.1,12
"27",12,15,16,12.4,16.1,16.92,9.8,13.7,14.845,3,8,9,7.3,11.1,11.9
"28",12,15,16,12.4,16.13,16.815,9.8,13.7,14.735,3,8,9,7.3,11,11.9
"29",12,15,16,12.45,16.2,16.915,9.9,13.76,14.8,3,8,9,7.3,11,11.81
"30",12,15,16,12.5,16.2,17,9.9,13.8,14.8,3,8,9,7.3,10.9,11.8
"31",12,15,16,12.5,16.2,17,9.9,13.8,14.8,3,8,9,7.3,10.9,11.8
"32",12,15,16,12.5,16.2,17,9.9,13.9,14.815,3,8,9,7.3,11,11.8
"33",12,15,16,12.5,16.3,17,10,13.9,14.9,3,8,9,7.3,11,11.8
"34",12,15,16,12.5,16.3,17.1,10,13.92,14.9,3,8,9,7.3,11.02,11.81
"35",12,15,16,12.6,16.3,17.11,10,14.02,14.9,3,8,9,7.4,11.1,11.81
"36",12,15,16,12.6,16.3,17.2,10,14.1,15,3,8,9,7.4,11.1,11.8
"37",12,15,16,12.6,16.3,17.2,10,14.1,15,3,8,9,7.4,11.1,11.81
"38",12,15,16,12.6,16.3,17.2,10,14.12,15.1,3,8,9,7.4,11.1,11.8
"39",12,15,16,12.6,16.4,17.3,10,14.2,15.21,3,8,9,7.4,11,11.8
"40",12.2,15,16,12.7,16.4,17.4,10.1,14.3,15.3,3,8,9,7.4,11,11.71
"41",12.3,15,16,12.7,16.43,17.415,10.1,14.3,15.5,3,8,9,7.5,10.9,11.7
"42",12.4,15.06,16.03,12.8,16.5,17.6,10.15,14.4,15.5,3,8,9,7.55,10.93,11.7
"43",13,15.2,16.2,12.8,16.5,17.6,10.3,14.4,15.515,3,8,9,7.6,11,11.7
"44",13,15.4,16.34,12.9,16.5,17.6,10.4,14.6,15.6,3,8,9,7.6,11,11.7
"45",13,15.63,16.4,12.9,16.6,17.6,10.4,14.63,15.7,3,8,9,7.7,11,11.7
"46",13,16,16.4,13,16.7,17.6,10.4,14.7,15.715,3,8,9,7.8,11.1,11.8
"47",13,16,17,13.2,17,17.8,10.6,14.9,15.815,3,8,9,7.8,11.1,11.8
"48",13,16,17,13.3,17.1,17.9,10.65,14.9,16,3.8,8,9,7.9,11.2,11.9
"49",13,16,17,13.35,17.2,18.1,10.7,14.93,16.015,4,8,9,8.05,11.3,12.115
"50",13,16,17,13.4,17.3,18.2,10.7,15,16.2,4,8,9,8.2,11.3,12.3
"51",13,16,17,13.4,17.43,18.415,10.7,15.23,16.4,4,8,9,8.2,11.43,12.4
"52",13,16,17,13.5,17.5,18.5,10.7,15.4,16.5,4,8,9.08999999999999,8.3,11.5,12.5
"53",13,16.4,17,13.5,17.6,18.515,10.75,15.5,16.6,4,8,9.6,8.4,11.6,12.515
"54",13,16.4,17.2,13.5,17.6,18.6,10.8,15.5,16.63,4,8.06000000000001,10,8.45,11.7,12.615
"55",13,16.86,17.43,13.5,17.7,18.7,10.9,15.6,16.815,4,8.66000000000001,10,8.5,11.7,12.715
"56",13,17,18,13.6,17.9,18.9,10.9,15.7,17,4,8.06000000000001,10,8.6,11.73,12.715
"57",13,17,18,13.7,18,19.1,11,15.83,17.1,4,8,10,8.6,11.8,12.8
"58",13,17,18,13.8,18.13,19.3,11.1,16,17.2,4,8.06000000000001,10,8.6,11.9,12.8
"59",13.2,17,18,13.9,18.23,19.415,11.2,16.2,17.3,4,8.8,10,8.75,11.9,12.815
"60",13.4,17,18,14,18.4,19.5,11.3,16.33,17.6,4,8.06000000000001,10,8.9,12.03,12.9
"61",13.6,17,18,14.1,18.53,19.7,11.4,16.4,17.7,4.8,8.38000000000004,10,8.9,12.2,12.9
"62",14,17.4,18.2,14.2,18.7,19.8,11.45,16.6,17.9,5,9,10,9.1,12.23,13.015
"63",14,17.6,18.23,14.3,18.8,19.9,11.6,16.8,17.9,5,9,10,9.2,12.3,13.1
"64",14,18,18.4,14.55,19,19.915,11.75,17,18.1,5,9,10,9.3,12.33,13.1
"65",14,18,18.83,14.7,19.03,20.015,12,17,18.1,5,9,10,9.4,12.4,13.115
"66",14,18,19,14.8,19.2,20.3,12.2,17.2,18.145,5,9,10,9.4,12.43,13.3
"67",14,18,19,14.9,19.3,20.4,12.3,17.2,18.25,5,9,10,9.6,12.5,13.3
"68",14,18,19,15,19.4,20.6,12.5,17.3,18.455,5,9,10,9.6,12.63,13.3
"69",14,18,19,15,19.5,20.7,12.7,17.42,18.6,5,9,10,9.8,12.7,13.4
"70",15,18,19,15.2,19.5,20.8,12.9,17.6,18.9,5,9,10,9.9,12.8,13.5
"71",15,18,19,15.3,19.53,20.8,12.95,17.6,18.9,5,9,10,9.9,12.9,13.6
"72",15,18,19,15.5,19.7,20.9,13.1,17.8,19,5,9,10,10.1,13,13.615
"73",15,18.2,19,15.7,19.8,21,13.3,17.81,19.055,5.5,9,10,10.2,13.1,13.7
"74",15,18.4,19.03,15.75,19.8,21.015,13.35,17.9,19.1,5.8,9,10,10.3,13.2,13.715
"75",15,18.46,19.23,15.8,19.93,21.1,13.5,18,19.3,6,9.18000000000004,10,10.35,13.23,13.8
"76",15,18.8,19.6,15.9,20.03,21.2,13.5,18.1,19.455,6,9.6,10.03,10.4,13.3,13.9
"77",15,19,19.83,16,20.3,21.3,13.6,18.2,19.5,6,9.18000000000004,10.03,10.4,13.3,13.9
"78",15,19,20,16,20.4,21.315,13.7,18.4,19.6,6,10,10.8,10.6,13.3,13.9
"79",15,19,20,16.1,20.5,21.4,13.8,18.4,19.6,6,10,10.8,10.6,13.4,14.015
"80",15.4,19,20,16.2,20.5,21.315,13.9,18.4,19.7,6,10,10.83,10.7,13.4,14.1
"81",16,19,20,16.35,20.8,21.615,14.1,18.71,19.855,6,10,11,10.9,13.4,14.115
"82",16,19,20,16.5,20.9,21.715,14.2,18.9,20,6,10,11,10.9,13.5,14.2
"83",16,19,20,16.7,20.93,21.815,14.35,19,20.255,6,10,11,11.1,13.6,14.315
"84",16,19.2,20,17,21.1,21.9,14.55,19.31,20.3,6,10,11,11.2,13.7,14.515
"85",16,19.28,20,17.1,21.2,22,14.6,19.5,20.66,6.8,10,11,11.3,13.8,14.7
"86",16,19.6,20.25,17.1,21.2,22.3,14.7,19.5,20.8,7,10,11,11.4,13.9,14.725
"87",16,20,20.45,17.3,21.25,22.425,14.85,19.6,20.8,7,10,11,11.5,14,14.8
"88",16,20,21,17.4,21.3,22.7,14.9,19.6,20.8,7,10,11,11.7,14.1,15.1
"89",16,20,21,17.4,21.4,22.8,15,19.7,20.9,7,10,11,11.7,14.2,15.3
"90",16.4,20,21,17.4,21.4,22.8,15,19.7,20.96,7,10,11,11.8,14.3,15.3
"91",16.4,20,21,17.5,21.4,22.8,15,19.71,20.955,7,10,11,11.8,14.3,15.3
"92",16.8,20,21,17.5,21.5,22.9,15.1,19.8,21,7,10,11,11.9,14.4,15.325
"93",16.9,20,21,17.6,21.7,22.9,15.1,19.81,21.055,7,10.8,11,12,14.6,15.825
"94",17,20,21,17.6,21.8,22.9,15.1,19.9,21.255,7,11,11,12.1,14.7,15.9
"95",17,20,21,17.7,21.8,22.925,15.2,19.9,21.155,7,11,11.2,12.1,14.7,15.9
"96",17,20,21.4,17.8,21.8,23,15.3,20,21.255,7.6,11,11.8,12.2,14.75,15.925
"97",17,20,21.4,18,21.9,23.025,15.4,20,21.3,7.6,11,11.8,12.2,14.8,16
"98",17,20.2,21.6,18.1,21.9,23.12,15.6,20.2,21.3,7.8,11,11.8,12.3,14.9,16.02
"99",17,20.4,22,18.3,22.14,23.42,15.7,20.3,21.575,8,11,11.84,12.3,14.9,16.1
"100",17,21,22,18.4,22.4,23.62,15.8,20.7,21.8,8,11,12,12.4,15.1,16.2
"101",17,21,22,18.5,22.64,23.94,16,20.8,22.1,8,11,12,12.4,15.2,16.2
"102",17,21,22,18.6,22.9,24.2,16.1,21,22.4,8,11,12,12.6,15.4,16.3
"103",17,21,22.2,18.7,23,24.3,16.3,21.3,22.695,8,11,12,12.7,15.54,16.4
"104",17.6,21.4,22.2,18.9,23.2,24.4,16.5,21.5,22.9,8,11,12,12.7,15.8,16.52
"105",18,22,22.68,19,23.5,24.52,16.6,21.71,23,8,11,12,12.8,15.9,16.7
"106",18,22,23,19.1,23.6,24.7,16.7,21.9,23.31,8,11,12,12.9,16.04,16.82
"107",18,22,23,19.2,23.8,24.9,16.9,22.1,23.615,8,11.6,12.64,13,16.2,17.1
"108",18,22,23,19.3,24.04,25.1,17,22.3,23.7,9,11.88,13,13.1,16.3,17.2
"109",18,22,23,19.5,24.2,25.4,17.2,22.45,23.925,9,12,13,13.2,16.34,17.2
"110",18,22,23.2,19.8,24.4,25.62,17.6,22.7,24.23,9,12,13,13.3,16.5,17.5
"111",18.2,22.48,23.4,19.9,24.6,26,17.7,23,24.44,9,12,13,13.4,16.7,17.6
"112",18.6,23,23.6,20.1,24.74,26.12,17.9,23.1,24.65,9,12,13,13.6,16.8,17.7
"113",19,23,24,20.2,24.9,26.4,17.9,23.32,24.76,9,12.6,13,13.7,16.84,17.9
"114",19,23,24,20.3,25.1,26.5,18.1,23.72,24.9,9,12.66,13,13.8,17.1,17.9
"115",19,23,24,20.6,25.32,26.7,18.3,23.9,25.16,9,12.8,13.6,13.9,17.1,18.01
"116",19,23,24.22,20.8,25.6,26.9,18.5,24.1,25.565,9,13,14,14.2,17.4,18.2
"117",19,23.2,25,20.9,25.9,27.5,18.8,24.4,25.9,9.6,13,14,14.3,17.5,18.4
"118",19.2,23.4,25,21.1,26.2,27.7,19.1,24.7,26.3,10,13,14,14.4,17.7,18.5
"119",20,24,25,21.4,26.5,27.8,19.2,24.9,26.56,10,13,14,14.6,17.9,18.7
"120",20,24,25.2,21.6,26.8,28.3,19.5,25.3,27.085,10,13,14,14.8,18.1,18.91
"121",20,24.2,25.82,21.8,27.02,28.51,19.7,25.6,27.38,10,13.8,14,14.9,18.22,19.2
"122",20,24.6,26,22,27.5,28.8,20,25.95,27.475,10,14,14.82,15.1,18.4,19.4
