"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",11.6,15,15.4,11.75,16.2,16.8,9.4,13.5,14.6,3,8,9,6.9,11.3,12.1
"2",13,16,16.46,13,16.8,17.7,10.5,14.8,15.8,3,8,9,7.8,11.1,11.8
"3",15,19,19.6,15.9,20.1,21.2,13.5,18.1,19.5,6,9.6,10.8,10.4,13.3,13.9
"4",18,22,23,19.2,23.73,24.9,16.9,21.9,23.6,8,11.6,12.73,12.9,16.13,17
"5",23,27,28.41,25.5,30.8,32.305,24,29.4,31.19,12,15.62,16.8,17.5,21.01,22.2
"6",27,32,33.2,30.6,36.8,38.385,29,35.8,37.4,16,20,20.8,21.7,25.7,26.9
"7",30.3,34,35,35.2,39.9,40.7,33.9,39,39.905,19,21.8,22,24.7,27.5,28.2
"8",31,34,35,36.1,40.12,41.21,34.8,39.2,40.5,19,22,22,24.9,27.5,28.305
"9",26.6,30,31,30.8,35,36.5,29.2,33.8,35.6,16,19,19.8,20.9,23.7,24.5
"10",22,25.8,27,24.6,30,31.1,22.6,28.6,30,12.8,16,17,16.8,20,20.7
"11",16,20,21,17.8,22.6,23.8,15.4,20.4,22,8,13,14,11.8,16.1,17.2
"12",12.2,16,17,12.9,17.4,18.9,10.45,14.8,16,4,10,11,8.1,12.71,13.8
