city,date_first,date_last,length,HW_Periods
genova,2015-05-13,2015-05-15,2,A
venezia,2015-05-13,2015-05-15,2,A
campobasso,2015-05-14,2015-05-15,1,A
crotone,2015-05-14,2015-05-15,1,A
lecce,2015-05-14,2015-05-15,1,A
napoli,2015-05-14,2015-05-15,1,A
perugia,2015-05-14,2015-05-17,3,A
roma,2015-05-14,2015-05-15,1,A
torino,2015-05-14,2015-05-15,1,A
ancona,2015-05-15,2015-05-18,3,A
bari,2015-05-17,2015-05-19,2,A
firenze,2015-05-17,2015-05-20,3,A
palermo,2015-05-17,2015-05-18,1,A
reggio calabria,2015-05-17,2015-05-18,1,A
pescara,2015-05-18,2015-05-19,1,A
crotone,2015-05-19,2015-05-20,1,A
torino,2015-05-19,2015-05-20,1,A
perugia,2015-05-20,2015-05-21,1,A
genova,2015-06-02,2015-06-07,5,B
ancona,2015-06-03,2015-06-06,3,B
cagliari,2015-06-03,2015-06-08,5,B
catania,2015-06-03,2015-06-08,5,B
pescara,2015-06-03,2015-06-08,5,B
reggio calabria,2015-06-03,2015-06-09,6,B
venezia,2015-06-03,2015-06-04,1,B
firenze,2015-06-04,2015-06-07,3,B
milano,2015-06-04,2015-06-07,3,B
bari,2015-06-05,2015-06-08,3,B
bolzano,2015-06-05,2015-06-06,1,B
crotone,2015-06-05,2015-06-09,4,B
palermo,2015-06-05,2015-06-07,2,B
bolzano,2015-06-10,2015-06-12,2,B
catania,2015-06-10,2015-06-13,3,B
firenze,2015-06-10,2015-06-13,3,B
genova,2015-06-10,2015-06-12,2,B
bari,2015-06-11,2015-06-14,3,B
campobasso,2015-06-12,2015-06-13,1,B
crotone,2015-06-12,2015-06-14,2,B
napoli,2015-06-13,2015-06-14,1,B
palermo,2015-06-13,2015-06-14,1,B
torino,2015-06-13,2015-06-14,1,B
genova,2015-06-15,2015-06-16,1,B
reggio calabria,2015-07-01,2015-07-08,7,C
bari,2015-07-02,2015-07-10,8,C
cagliari,2015-07-02,2015-07-03,1,C
pescara,2015-07-02,2015-07-09,7,C
ancona,2015-07-03,2015-07-04,1,C
catania,2015-07-03,2015-07-08,5,C
firenze,2015-07-03,2015-07-12,9,C
palermo,2015-07-03,2015-07-04,1,C
milano,2015-07-04,2015-07-08,4,C
cagliari,2015-07-05,2015-07-08,3,C
crotone,2015-07-05,2015-07-09,4,C
genova,2015-07-06,2015-07-10,4,C
palermo,2015-07-06,2015-07-12,6,C
venezia,2015-07-06,2015-07-08,2,C
perugia,2015-07-07,2015-07-09,2,C
torino,2015-07-07,2015-07-09,2,C
napoli,2015-07-08,2015-07-09,1,C
bari,2015-07-12,2015-07-24,12,D
genova,2015-07-12,2015-08-03,22,D
reggio calabria,2015-07-12,2015-07-23,11,D
torino,2015-07-12,2015-07-23,11,D
crotone,2015-07-13,2015-07-27,14,D
pescara,2015-07-13,2015-07-18,5,D
ancona,2015-07-14,2015-07-23,9,D
firenze,2015-07-14,2015-07-15,1,D
napoli,2015-07-14,2015-07-25,11,D
palermo,2015-07-14,2015-07-25,11,D
cagliari,2015-07-15,2015-07-23,8,D
catania,2015-07-15,2015-07-25,10,D
venezia,2015-07-15,2015-07-23,8,D
milano,2015-07-16,2015-07-24,8,D
perugia,2015-07-16,2015-07-17,1,D
bolzano,2015-07-17,2015-07-19,2,D
lecce,2015-07-17,2015-07-23,6,D
firenze,2015-07-19,2015-07-28,9,D
perugia,2015-07-20,2015-07-24,4,D
pescara,2015-07-20,2015-07-24,4,D
ancona,2015-07-26,2015-07-28,2,D
bari,2015-07-26,2015-07-28,2,D
lecce,2015-07-26,2015-08-01,6,D
roma,2015-07-26,2015-07-27,1,D
torino,2015-07-26,2015-07-28,2,D
napoli,2015-07-27,2015-07-28,1,D
crotone,2015-07-29,2015-07-30,1,D
perugia,2015-07-29,2015-07-31,2,D
